id,likes,retweets,replies
1592139412661768193,2,0,0
1592139080867147779,2,0,0
1592138286726012928,3,0,1
1592136725719310338,0,0,0
1592136421959036928,0,0,0
1592136411691773952,0,1,1
1592135828175740929,0,0,0
1592135429943197696,0,0,0
1592134007315173377,1,0,0
1592132101650141186,4,1,1
1592129676738285568,1,0,0
1592129103062179841,11,2,0
1592127566072418304,32,2,4
1592125216175497216,1,0,0
1592123495848501252,3,0,1
1592123016577978370,0,0,0
1592122664457584640,9,0,1
1592120068464328704,2,0,1
1592118485429227522,2,0,0
1592116176913825792,1,0,0
1592112576594608129,2,1,0
1592110380112814080,0,0,0
1592110112105193472,2,0,0
1592109670705303557,0,0,0
1592108960265687040,1,0,0
1592107200583208961,0,0,0
1592107036141293568,6,0,0
1592101355203723266,0,0,0
1592101297854959616,0,0,0
1592101296516972544,0,0,0
1592101175671021569,31,4,1
1592101145610174464,0,0,0
1592100926479011840,0,0,0
1592100901069926403,0,0,0
1592098539509010433,0,0,0
1592098087819960321,17,7,0
1592096612242931715,4,1,0
1592096508098510849,5,1,1
1592095393306869760,0,0,0
1592092200506380289,3,0,0
1592089170356600832,34,0,0
1592087388356251648,1,0,0
1592086577223815168,1,0,0
1592085113931796480,2,0,0
1592082559856693248,5,0,2
1592082527078207488,1,0,0
1592081851094818816,1,0,0
1592080312166744066,0,0,0
1592080085242286080,0,0,0
1592079580000825345,1,0,0
1592078525263187968,0,0,0
1592077810533019648,57,0,4
1592077398765637633,10,3,1
1592077365060009984,1,0,0
1592065525697642497,0,0,0
1592064953510658048,10,1,0
1592064373828202496,0,0,0
1592062748938194944,3,1,0
1592062378774233089,1,0,2
1592059740808704002,2,0,0
1592057944396697602,0,0,0
1592054712387670017,22,1,2
1592051953152200704,1,1,0
1592049146013573123,0,0,0
1592048310872743936,0,0,0
1592046988962529280,1,0,0
1592044148646940672,6,0,1
1592039811149615104,1,1,0
1592039369501990912,1,0,1
1592037730997137408,0,0,0
1592036509053767680,1,0,0
1592031993642233856,14,1,0
1592030421105184774,0,0,0
1592025258151772160,0,0,0
1592024503709843461,1,1,0
1592024285522034690,1,0,0
1592022152114479104,0,0,0
1592006674000543745,0,0,0
1591978647074009089,0,0,0
1591975845459009536,0,0,0
1591954165059973121,0,0,0
1591951241470410752,3,0,0
1591935758603997184,0,0,0
1591932379404410882,0,0,0
1591927463868866560,296,10,2
1591927271988031488,8,0,1
1591920165830156288,0,0,0
1591910294494019584,0,0,0
1591908856086536194,0,0,0
1591907212909223936,0,0,0
1591900337446834176,0,0,0
1591897709300023296,0,0,1
1591897184106328065,0,0,0
1591896658706563073,2,0,0
1591896279352856576,1,0,0
1591896027354759181,1,0,0
1591894926769664000,0,0,0
1591893934632226817,7,2,1
1591893438336847873,2,0,0
1591891399615467520,1,0,0
1591880174408454145,0,0,0
1591879351708291072,0,0,0
1591876179522646016,0,0,0
1591875270436618243,0,0,0
1591873384891453441,0,0,0
1591873338242387969,1,0,0
1591872818651992064,27,1,1
1591869505256714240,0,0,0
1591867306992226306,0,0,0
1591867292409024512,23,0,1
1591867271890321409,3,0,1
1591865431576481792,1,0,1
1591865231466459136,8,3,0
1591852810693386240,0,0,0
1591851786306224128,0,0,0
1591850972879663106,0,0,0
1591847607244292096,0,0,0
1591846139594248194,0,0,0
1591842386258247680,0,0,0
1591841884569313282,0,0,0
1591841812553273344,0,0,0
1591840138728013824,1,0,0
1591839828819447808,7,2,1
1591839325284597760,0,0,0
1591839281945145345,3,0,1
1591838390793736195,0,0,0
1591837914249453574,0,0,0
1591837467325435905,0,0,0
1591836784853340160,0,0,0
1591835890862755846,0,0,0
1591835439329333250,0,0,0
1591835290011934727,0,0,0
1591834529647722496,0,0,0
1591834209672380416,1,0,0
